home_team,away_team,toss_won,decision,winner,venue_name,home_captain,away_captain,reserve_umpire,away_team_win_percentage,home_playx1_1,home_playx1_2,home_playx1_3,home_playx1_4,home_playx1_5,home_playx1_6,home_playx1_7,home_playx1_8,home_playx1_9,home_playx1_10,home_playx1_11,away_playx1_1,away_playx1_2,away_playx1_3,away_playx1_4,away_playx1_5,away_playx1_6,away_playx1_7,away_playx1_8,away_playx1_9,away_playx1_10,away_playx1_11,home_key_batsman_1,home_key_batsman_2,home_key_bowler_1,home_key_bowler_2,away_key_batsman_1,away_key_batsman_2,away_key_bowler_1,away_key_bowler_2
CSK,KKR,4,1,4,34,Ravindra Jadeja,Shreyas Iyer,9,13,Ruturaj Gaikwad (UKN),Devon Conway (UKN),Robin Uthappa (UKN),Ambati Rayudu (UKN),Ravindra Jadeja (AR),Shivam Dube (AR),MS Dhoni (WK),Dwayne Bravo (AR),Mitchell Santner (AR),Adam Milne (BL),Tushar Deshpande (BL),Ajinkya Rahane (UKN),Venkatesh Iyer (AR),Nitish Rana (UKN),Shreyas Iyer (UKN),Sam Billings (UKN),Sheldon Jackson (WK),Andre Russell (AR),Sunil Narine (AR),Umesh Yadav (BL),Shivam Mavi (AR),Varun Chakravarthy (BL),MS Dhoni,Robin Uthappa,Dwayne Bravo,Mitchell Santner,Ajinkya Rahane,Sam Billings,Umesh Yadav,Varun Chakravarthy
DC,MI,1,1,1,2,Rishabh Pant,Rohit Sharma,29,24,Prithvi Shaw (UKN),Tim Seifert (UKN),Mandeep Singh (AR),Rishabh Pant (WK),Lalit Yadav (AR),Rovman Powell (UKN),Shardul Thakur (BL),Axar Patel (AR),Kuldeep Yadav (BL),Khaleel Ahmed (BL),Kamlesh Nagarkoti (BL),Rohit Sharma (UKN),Ishan Kishan (WK),Anmolpreet Singh (UKN),Tilak Varma (AR),Kieron Pollard (AR),Tim David (UKN),Daniel Sams (AR),Murugan Ashwin (BL),Tymal Mills (BL),Jasprit Bumrah (BL),Basil Thampi (BL),Lalit Yadav,Axar Patel,Kuldeep Yadav,Khaleel Ahmed,Ishan Kishan,Rohit Sharma,Basil Thampi,Murugan Ashwin
PBKS,RCB,5,1,9,6,Mayank Agarwal,Faf du Plessis,38,0,Mayank Agarwal (UKN),Shikhar Dhawan (UKN),Bhanuka Rajapaksa (WK),Liam Livingstone (AR),Raj Bawa (AR),M Shahrukh Khan (UKN),Odean Smith (AR),Harpreet Brar (BL),Arshdeep Singh (BL),Sandeep Sharma (BL),Rahul Chahar (BL),Faf du Plessis (UKN),Anuj Rawat (UKN),Virat Kohli (UKN),Dinesh Karthik (WK),Sherfane Rutherford (UKN),David Willey (AR),Shahbaz Ahmed (AR),Wanindu Hasaranga de Silva (AR),Harshal Patel (BL),Mohammed Siraj (BL),Akash Deep (AR),Bhanuka Rajapaksa,Shikhar Dhawan,Rahul Chahar,Arshdeep Singh,Faf du Plessis,Virat Kohli,Mohammed Siraj,Harshal Patel
GT,LSG,3,1,3,34,Hardik Pandya,KL Rahul,39,0,Shubman Gill (UKN),Matthew Wade (WK),Vijay Shankar (AR),Hardik Pandya (AR),David Miller (UKN),Rahul Tewatia (AR),Abhinav Manohar (AR),Rashid Khan (BL),Lockie Ferguson (BL),Mohammed Shami (BL),Varun Aaron (BL),KL Rahul (UKN),Quinton de Kock (WK),Evin Lewis (UKN),Manish Pandey (UKN),Deepak Hooda (AR),Ayush Badoni (UKN),Krunal Pandya (AR),Dushmantha Chameera (BL),Mohsin Khan (BL),Ravi Bishnoi (BL),Avesh Khan (BL),Rahul Tewatia,Hardik Pandya,Mohammed Shami,Varun Aaron,Deepak Hooda,Ayush Badoni,Dushmantha Chameera,Krunal Pandya
SRH,RR,13,1,13,17,Kane Williamson,Sanju Samson,40,35,Kane Williamson (UKN),Abhishek Sharma (AR),Rahul Tripathi (UKN),Nicholas Pooran (WK),Aiden Markram (UKN),Abdul Samad (UKN),Romario Shepherd (AR),Washington Sundar (AR),Bhuvneshwar Kumar (BL),Umran Malik (BL),T Natarajan (BL),Jos Buttler (UKN),Yashasvi Jaiswal (UKN),Sanju Samson (WK),Devdutt Padikkal (UKN),Shimron Hetmyer (UKN),Riyan Parag (UKN),Nathan Coulter-Nile (AR),Ravichandran Ashwin (AR),Yuzvendra Chahal (BL),Trent Boult (BL),Prasidh Krishna (BL),Aiden Markram,Washington Sundar,Umran Malik,T Natarajan,Sanju Samson,Devdutt Padikkal,Yuzvendra Chahal,Prasidh Krishna
RCB,KKR,10,1,11,6,Faf du Plessis,Shreyas Iyer,9,33,Faf du Plessis (UKN),Anuj Rawat (UKN),Virat Kohli (UKN),David Willey (AR),Sherfane Rutherford (UKN),Shahbaz Ahmed (AR),Dinesh Karthik (WK),Wanindu Hasaranga de Silva (AR),Harshal Patel (BL),Mohammed Siraj (BL),Akash Deep (AR),Ajinkya Rahane (UKN),Venkatesh Iyer (AR),Shreyas Iyer (UKN),Nitish Rana (UKN),Sunil Narine (AR),Sam Billings (UKN),Sheldon Jackson (WK),Andre Russell (AR),Tim Southee (BL),Umesh Yadav (BL),Varun Chakravarthy (BL),Sherfane Rutherford,Shahbaz Ahmed,Wanindu Hasaranga de Silva,Akash Deep,Andre Russell,Umesh Yadav,Tim Southee,Umesh Yadav
LSG,CSK,7,1,7,2,KL Rahul,Ravindra Jadeja,27,0,KL Rahul (UKN),Quinton de Kock (WK),Manish Pandey (UKN),Evin Lewis (UKN),Deepak Hooda (AR),Ayush Badoni (UKN),Krunal Pandya (AR),Dushmantha Chameera (BL),Andrew Tye (BL),Ravi Bishnoi (BL),Avesh Khan (BL),Robin Uthappa (UKN),Ruturaj Gaikwad (UKN),Moeen Ali (AR),Shivam Dube (AR),Ambati Rayudu (UKN),Ravindra Jadeja (AR),MS Dhoni (WK),Dwaine Pretorius (AR),Dwayne Bravo (AR),Tushar Deshpande (BL),Mukesh Choudhary (BL),Quinton de Kock,Evin Lewis,Ravi Bishnoi,Avesh Khan,Robin Uthappa,Shivam Dube,Dwaine Pretorius,Dwayne Bravo
KKR,PBKS,4,1,4,34,Shreyas Iyer,Mayank Agarwal,2,57,Ajinkya Rahane (UKN),Venkatesh Iyer (AR),Shreyas Iyer (UKN),Sam Billings (WK),Nitish Rana (UKN),Andre Russell (AR),Sunil Narine (AR),Tim Southee (BL),Umesh Yadav (BL),Varun Chakravarthy (BL),Shivam Mavi (AR),Mayank Agarwal (UKN),Shikhar Dhawan (UKN),Bhanuka Rajapaksa (WK),Liam Livingstone (AR),Raj Bawa (AR),M Shahrukh Khan (UKN),Harpreet Brar (BL),Odean Smith (AR),Rahul Chahar (BL),Kagiso Rabada (BL),Arshdeep Singh (BL),Andre Russell,Shreyas Iyer,Umesh Yadav,Tim Southee,Bhanuka Rajapaksa,Kagiso Rabada,Rahul Chahar,Kagiso Rabada
MI,RR,8,1,13,6,Rohit Sharma,Sanju Samson,29,19,Ishan Kishan (WK),Rohit Sharma (UKN),Anmolpreet Singh (UKN),Tilak Varma (AR),Kieron Pollard (AR),Tim David (UKN),Daniel Sams (AR),Murugan Ashwin (BL),Jasprit Bumrah (BL),Tymal Mills (BL),Basil Thampi (BL),Jos Buttler (UKN),Yashasvi Jaiswal (UKN),Devdutt Padikkal (UKN),Sanju Samson (WK),Shimron Hetmyer (UKN),Riyan Parag (UKN),Ravichandran Ashwin (AR),Navdeep Saini (BL),Trent Boult (BL),Yuzvendra Chahal (BL),Prasidh Krishna (BL),Tilak Varma,Ishan Kishan,Jasprit Bumrah,Tymal Mills,Jos Buttler,Shimron Hetmyer,Yuzvendra Chahal,Navdeep Saini
GT,DC,1,1,3,17,Hardik Pandya,Rishabh Pant,58,0,Matthew Wade (WK),Shubman Gill (UKN),Vijay Shankar (AR),Hardik Pandya (AR),David Miller (UKN),Rahul Tewatia (AR),Abhinav Manohar (AR),Rashid Khan (BL),Varun Aaron (BL),Lockie Ferguson (BL),Mohammed Shami (BL),Prithvi Shaw (UKN),Tim Seifert (UKN),Mandeep Singh (AR),Rishabh Pant (WK),Lalit Yadav (AR),Rovman Powell (UKN),Axar Patel (AR),Shardul Thakur (BL),Kuldeep Yadav (BL),Khaleel Ahmed (BL),Mustafizur Rahman (BL),Shubman Gill,Hardik Pandya,Lockie Ferguson,Mohammed Shami,Rishabh Pant,Lalit Yadav,Mustafizur Rahman,Khaleel Ahmed
